,r,K,v,d_A,beta,alpha,SSR
175,0.8008168076133553,99.99999999999994,0.84978433003607,3.9999999999309184,0.011235044761401131,0.6753500596926576,184.2712788656365
176,0.7234886045046485,99.11167124056333,0.9997983500935804,0.6669436799884857,0.015186034703694309,0.7144570919092551,149.95358163011858
177,0.7526436275599566,99.31955552899947,0.9890178288794602,3.99999999999651,0.024455486577254944,0.6798979729205865,266.82161165335674
178,0.7272597952126487,99.99999999999989,1.0211292707007995,0.36534643837072106,0.030852739222727243,0.7726787994422517,283.06676433570146
179,0.7369115195492025,100.0,0.9857585290593336,3.9999999906044845,0.07591996898639804,0.7387162812671494,217.95538944132045
180,0.7061774196426563,100.0,1.0583218674128247,1.6469477203118794,0.0026425140736660454,0.6774363880045117,95.1824548439691
181,0.6880215299734511,98.0870059792126,1.2304685510382822,3.999999999999967,0.0038021077940714795,0.6563309908290322,160.54394635566612
182,0.747766613190768,99.45455000290772,0.956513818070916,2.075436115623304,0.04055039270223564,0.722452473134355,120.67036616475252
183,0.6721321230827308,98.4282356157544,1.245359442805234,0.5661878877412548,0.0418694628513813,0.7599774366875184,143.2470250852602
184,0.7011573745460041,99.82809981023182,1.1319624910766652,3.9999999999973377,9.708071467667201e-24,0.6538926469317613,356.4363129195173
185,0.7324920204451474,100.0,0.9672094010046286,1.2192843496742634,0.1386540348731747,0.8170988323267926,200.0753469744299
186,0.676209779127967,100.0,1.1634236835515772,3.9999999992685145,0.041326887982340806,0.7028923043645777,215.49180639875328
187,0.7597968893162458,100.0,0.9408927822315124,3.999999999999951,0.00044862638735991523,0.6603818188790269,120.05069563580486
188,0.6784820637561537,99.69548168266924,1.136598454439013,3.9999999999999165,0.0037425458045256574,0.6655497159095297,201.66870768644236
189,0.7064352844474365,99.64000087344262,1.0695374677704828,3.999999999635147,0.004990284384728717,0.6691975676565113,152.5146869095459
190,0.6486650010663765,99.44941520758428,1.3256168215859454,3.999999999999733,0.007594663379740582,0.655361715575856,358.53460878335267
191,0.6859203003514592,99.71364422040696,1.1723851631039115,0.07299618278278815,0.0051088163913147735,0.9117224763253657,335.1506022381994
192,0.680112654390607,100.0,1.172517665208485,0.6259583647506369,0.004979518979708585,0.7135453841902163,209.92508644848093
193,0.6825813430969971,96.67964821567644,1.2246767538370626,0.09047439079429316,0.01874791159426685,0.8832194397824952,163.0758584294239
194,0.669724843740798,97.2122772320714,1.3182313838722062,0.49429870792153197,0.05723366844542907,0.7769645203770997,257.55891326885774
195,0.6940790591855013,99.9999999999997,1.1243238539133091,0.10702484641733341,0.04066436651074514,0.9001561848284226,134.54824732341146
196,0.7056133891246543,100.0,1.0947951048050049,3.999999999999364,0.03436816594096576,0.6977832377467905,140.38775736041143
197,0.7737323787071461,99.99999999998528,0.8722703870614412,0.6356312761929441,0.046427913302936816,0.7643217836924383,114.1483846688251
198,0.7377599670801931,100.0,0.9543056831093928,0.809041536564917,0.010802600827132858,0.7125304948901043,269.6348478373331
199,0.6881637463757744,97.08353769529968,1.218579854014077,2.0216013125293064,5.885495420445316e-18,0.6642095506919362,146.36494965779352
200,0.7245857042111316,99.05775598790026,1.020952152763256,0.32739280500604934,0.12888979152413554,0.9026339196936751,283.80692836553004
201,0.7079502954661615,99.99999999998872,1.0631879674386406,0.8978588699110371,0.06746382238174672,0.755922454086758,309.097634038111
202,0.7421672346068429,100.0,0.9714256478495286,2.991392878966157,0.013150280084851982,0.677570135611344,76.00129850716256
203,0.6642851438811912,100.0,1.2443576772954972,1.2152430935820548,0.13422887154549443,0.803889534902278,169.4662208963133
204,0.7410721209493836,100.0,0.995310527346972,0.08838427635664911,0.011893153780503787,0.904597065546988,140.70815668476263
205,0.7326848880695037,98.90076697696948,1.020752702796011,3.999999999991872,0.05459758141805971,0.7148722597536129,279.07713601972864
206,0.7954507716067233,100.0,0.8652799181764815,1.1024178296172995,0.09993990251513528,0.7870593400909336,333.76536825079353
207,0.7070795276947132,99.99999999999964,1.0233175511988946,1.9456847936644714,0.029163935657153753,0.7068981692760632,185.99967055533162
208,0.6580831750563385,99.99999999999972,1.2969496728117984,1.1235443393623148,0.09099110736892863,0.7660413729204427,230.5939839719414
209,0.6834019249243597,100.0,1.2080272766556763,1.3986584693207853,0.15189305137479717,0.8258970493305702,159.98412339546383
210,0.7620365388365913,98.91164140439822,0.9503897981576528,0.26661025300837343,0.07371392860445979,0.8562596617848155,356.54474730754345
211,0.7020351676984611,98.74899806610895,1.145799840576254,0.9337563227656603,0.0077853538714254605,0.6915862079206435,173.53642328032976
212,0.7423950364393387,100.0,0.99658836447268,3.9999999999999853,0.011127951905969444,0.6712485977906852,122.1968363070264
213,0.6887847775761139,100.0,1.1352772057348457,0.7014135704875604,0.04689934692456495,0.7498199522111978,329.5505471822223
214,0.6917624514893881,99.25797465636528,1.173459050770644,3.99999999996747,0.03776515363264157,0.6961845895917834,278.7719760766671
215,0.7663257550195497,99.99998897015476,0.8781646698489586,0.6022604279373237,0.062288014639566264,0.7722985051440968,122.06125377888988
216,0.6707868849849052,94.95025259018568,1.415541770338108,1.2104901043765801,0.12052043099845054,0.79603448816352,77.07739325645535
217,0.6695408889262637,97.4674165795985,1.274359621226946,0.8347550332028897,0.09932120943024182,0.8036856000630306,134.63693501978176
218,0.7309395773568136,100.0,0.9773487604901816,0.08510764852651934,0.0466720201863553,0.9376245541353635,45.79982944940257
219,0.7257379579713736,97.75759980714422,1.0625318561843855,0.8896986105476514,0.09326492971663496,0.7894896951614582,241.28973643651892
220,0.7543136143711436,100.0,0.9133808841022883,0.6745581471699404,0.0564256094655553,0.7803961933120113,117.18377420678503
221,0.7455520473286461,100.0,0.9344653899923772,2.4840100871696094,0.0040099937312299775,0.6735329730774949,111.51497656135494
222,0.7444901289879322,99.99999999999908,0.9703457744187866,0.1335982207803168,3.700542586573483e-19,0.8249986318573298,148.8664914367356
223,0.6749492178759645,100.0,1.213008044970887,0.8185950029972717,0.19342649762543945,0.8833049054683374,181.56387456640343
224,0.6794897421013474,98.71529122284582,1.2663459991291215,3.999999999355557,0.018078357075453046,0.6773502924660191,198.193926941028
225,0.7148950807279062,97.0618056643002,1.0688718186824622,3.9999999999999996,0.006838646660242555,0.6654275831050519,131.67651187811694
226,0.7390456522039163,99.99999999999996,1.0181085959877374,0.6522609810260463,0.06224872793265185,0.7689998014457982,256.6853815015091
