,Confluence,DMax,Date,Delay,ReplicateId,Time,WellId,DrugConcentration
0,22.448569999999997,50,8/13/2019 12:14:00 PM,0,1,0.0,A2,0.0
1,15.475655,50,8/13/2019 12:14:00 PM,1,1,0.0,A3,50.0
2,12.455035,50,8/13/2019 12:14:00 PM,2,1,0.0,A4,50.0
3,12.599573,50,8/13/2019 12:14:00 PM,4,1,0.0,A5,50.0
4,15.159835000000001,50,8/13/2019 12:14:00 PM,7,1,0.0,A6,50.0
5,23.211175,50,8/13/2019 12:14:00 PM,100,1,0.0,A7,50.0
6,22.59519,50,8/13/2019 12:14:00 PM,0,2,0.0,B2,0.0
7,15.63498,50,8/13/2019 12:14:00 PM,1,2,0.0,B3,50.0
8,16.153945,50,8/13/2019 12:14:00 PM,2,2,0.0,B4,50.0
9,16.996025,50,8/13/2019 12:14:00 PM,4,2,0.0,B5,50.0
10,15.945965,50,8/13/2019 12:14:00 PM,7,2,0.0,B6,50.0
11,19.197160000000004,50,8/13/2019 12:14:00 PM,100,2,0.0,B7,50.0
12,19.863680000000002,50,8/13/2019 12:14:00 PM,0,3,0.0,C2,0.0
13,18.210315,50,8/13/2019 12:14:00 PM,1,3,0.0,C3,50.0
14,26.37449,50,8/13/2019 12:14:00 PM,2,3,0.0,C4,50.0
15,17.41559,50,8/13/2019 12:14:00 PM,4,3,0.0,C5,50.0
16,20.648105,50,8/13/2019 12:14:00 PM,7,3,0.0,C6,50.0
17,27.461350000000003,50,8/13/2019 12:14:00 PM,100,3,0.0,C7,50.0
18,19.923675000000003,100,8/13/2019 12:14:00 PM,0,1,0.0,D2,0.0
19,18.177905,100,8/13/2019 12:14:00 PM,1,1,0.0,D3,100.0
20,18.01763,100,8/13/2019 12:14:00 PM,2,1,0.0,D4,100.0
21,24.938215,100,8/13/2019 12:14:00 PM,4,1,0.0,D5,100.0
22,15.686785,100,8/13/2019 12:14:00 PM,7,1,0.0,D6,100.0
23,22.707945000000002,100,8/13/2019 12:14:00 PM,100,1,0.0,D7,100.0
24,37.234605,100,8/13/2019 12:14:00 PM,0,2,0.0,E2,0.0
25,26.508965000000003,100,8/13/2019 12:14:00 PM,1,2,0.0,E3,100.0
26,16.94149,100,8/13/2019 12:14:00 PM,2,2,0.0,E4,100.0
27,33.2403,100,8/13/2019 12:14:00 PM,4,2,0.0,E5,100.0
28,18.606704999999998,100,8/13/2019 12:14:00 PM,7,2,0.0,E6,100.0
29,19.27384,100,8/13/2019 12:14:00 PM,100,2,0.0,E7,100.0
30,15.828395,100,8/13/2019 12:14:00 PM,0,3,0.0,F2,0.0
31,18.131529999999998,100,8/13/2019 12:14:00 PM,1,3,0.0,F3,100.0
32,16.54644,100,8/13/2019 12:14:00 PM,2,3,0.0,F4,100.0
33,19.629235,100,8/13/2019 12:14:00 PM,4,3,0.0,F5,100.0
34,17.52294,100,8/13/2019 12:14:00 PM,7,3,0.0,F6,100.0
35,15.143055,100,8/13/2019 12:14:00 PM,100,3,0.0,F7,100.0
36,46.97931,50,8/14/2019 12:22:00 PM,0,1,1.0055555555555542,A2,0.0
37,27.496795,50,8/14/2019 12:22:00 PM,1,1,1.0055555555555542,A3,0.0
38,23.528225,50,8/14/2019 12:22:00 PM,2,1,1.0055555555555542,A4,50.0
39,22.095775,50,8/14/2019 12:22:00 PM,4,1,1.0055555555555542,A5,50.0
40,27.988825,50,8/14/2019 12:22:00 PM,7,1,1.0055555555555542,A6,50.0
41,42.75029,50,8/14/2019 12:22:00 PM,100,1,1.0055555555555542,A7,50.0
42,47.29782,50,8/14/2019 12:22:00 PM,0,2,1.0055555555555542,B2,0.0
43,28.822264999999998,50,8/14/2019 12:22:00 PM,1,2,1.0055555555555542,B3,0.0
44,29.702675000000003,50,8/14/2019 12:22:00 PM,2,2,1.0055555555555542,B4,50.0
45,32.00601,50,8/14/2019 12:22:00 PM,4,2,1.0055555555555542,B5,50.0
46,30.251455,50,8/14/2019 12:22:00 PM,7,2,1.0055555555555542,B6,50.0
47,36.992915,50,8/14/2019 12:22:00 PM,100,2,1.0055555555555542,B7,50.0
48,46.227235,50,8/14/2019 12:22:00 PM,0,3,1.0055555555555542,C2,0.0
49,35.479834999999994,50,8/14/2019 12:22:00 PM,1,3,1.0055555555555542,C3,0.0
50,48.006190000000004,50,8/14/2019 12:22:00 PM,2,3,1.0055555555555542,C4,50.0
51,33.61285,50,8/14/2019 12:22:00 PM,4,3,1.0055555555555542,C5,50.0
52,38.96389,50,8/14/2019 12:22:00 PM,7,3,1.0055555555555542,C6,50.0
53,48.66815,50,8/14/2019 12:22:00 PM,100,3,1.0055555555555542,C7,50.0
54,44.704495,100,8/14/2019 12:22:00 PM,0,1,1.0055555555555542,D2,0.0
55,29.062565,100,8/14/2019 12:22:00 PM,1,1,1.0055555555555542,D3,0.0
56,26.691745,100,8/14/2019 12:22:00 PM,2,1,1.0055555555555542,D4,100.0
57,42.933865,100,8/14/2019 12:22:00 PM,4,1,1.0055555555555542,D5,100.0
58,26.53349,100,8/14/2019 12:22:00 PM,7,1,1.0055555555555542,D6,100.0
59,39.029525,100,8/14/2019 12:22:00 PM,100,1,1.0055555555555542,D7,100.0
60,70.430755,100,8/14/2019 12:22:00 PM,0,2,1.0055555555555542,E2,0.0
61,42.716375,100,8/14/2019 12:22:00 PM,1,2,1.0055555555555542,E3,0.0
62,29.11483,100,8/14/2019 12:22:00 PM,2,2,1.0055555555555542,E4,100.0
63,52.69065500000001,100,8/14/2019 12:22:00 PM,4,2,1.0055555555555542,E5,100.0
64,32.157650000000004,100,8/14/2019 12:22:00 PM,7,2,1.0055555555555542,E6,100.0
65,32.61912,100,8/14/2019 12:22:00 PM,100,2,1.0055555555555542,E7,100.0
