,Confluence,DMax,Date,Delay,ReplicateId,Time,WellId,DrugConcentration
74,24.66454,50,8/15/2019 2:59:00 PM,2,1,50.8333333333333,A4,0.0
75,35.71219,50,8/15/2019 2:59:00 PM,4,1,50.8333333333333,A5,50.0
76,36.28889,50,8/15/2019 2:59:00 PM,7,1,50.8333333333333,A6,50.0
77,35.723985,50,8/15/2019 2:59:00 PM,100,1,50.8333333333333,A7,50.0
78,60.918175,50,8/15/2019 2:59:00 PM,0,2,50.8333333333333,B2,0.0
79,47.605795,50,8/15/2019 2:59:00 PM,1,2,50.8333333333333,B3,0.0
80,34.535875000000004,50,8/15/2019 2:59:00 PM,2,2,50.8333333333333,B4,0.0
81,42.20782,50,8/15/2019 2:59:00 PM,4,2,50.8333333333333,B5,50.0
82,49.056725,50,8/15/2019 2:59:00 PM,7,2,50.8333333333333,B6,50.0
83,41.460535,50,8/15/2019 2:59:00 PM,100,2,50.8333333333333,B7,50.0
84,58.700199999999995,50,8/15/2019 2:59:00 PM,0,3,50.8333333333333,C2,0.0
85,41.65503,50,8/15/2019 2:59:00 PM,1,3,50.8333333333333,C3,0.0
86,39.17451,50,8/15/2019 2:59:00 PM,2,3,50.8333333333333,C4,0.0
87,52.25531,50,8/15/2019 2:59:00 PM,4,3,50.8333333333333,C5,50.0
88,49.85977,50,8/15/2019 2:59:00 PM,7,3,50.8333333333333,C6,50.0
89,40.75461,50,8/15/2019 2:59:00 PM,100,3,50.8333333333333,C7,50.0
90,59.09368,100,8/15/2019 2:59:00 PM,0,1,50.8333333333333,D2,0.0
91,35.574275,100,8/15/2019 2:59:00 PM,1,1,50.8333333333333,D3,0.0
92,33.425135,100,8/15/2019 2:59:00 PM,2,1,50.8333333333333,D4,0.0
93,42.151759999999996,100,8/15/2019 2:59:00 PM,4,1,50.8333333333333,D5,100.0
94,41.184575,100,8/15/2019 2:59:00 PM,7,1,50.8333333333333,D6,100.0
95,35.35426,100,8/15/2019 2:59:00 PM,100,1,50.8333333333333,D7,100.0
96,54.98376999999999,100,8/15/2019 2:59:00 PM,0,2,50.8333333333333,E2,0.0
97,39.002264999999994,100,8/15/2019 2:59:00 PM,1,2,50.8333333333333,E3,0.0
