,Date,DrugConcentration,Flank,MouseId,Time,TreatmentBranch,Volume
113,2019/12/16,0.0,Right,32,5,Math,37.1
114,2019/12/17,0.0,Right,32,6,Math,
115,2019/12/18,0.0,Right,32,7,Math,31.8
116,2019/12/19,0.0,Right,32,8,Math,
117,2019/12/20,0.0,Right,32,9,Math,42.5
118,2019/12/21,0.0,Right,32,10,Math,
119,2019/12/22,0.0,Right,32,11,Math,
120,2019/12/23,0.0,Right,32,12,Math,46.9
121,2019/12/24,0.0,Right,32,13,Math,
122,2019/12/25,0.0,Right,32,14,Math,
123,2019/12/26,0.0,Right,32,15,Math,
124,2019/12/27,100.0,Right,32,16,Math,46.7
125,2019/12/28,100.0,Right,32,17,Math,
126,2019/12/29,0.0,Right,32,18,Math,
127,2019/12/30,100.0,Right,32,19,Math,52.2
128,2019/12/31,100.0,Right,32,20,Math,49.8
129,2020/01/01,100.0,Right,32,21,Math,
130,2020/01/02,100.0,Right,32,22,Math,66.4
131,2020/01/03,100.0,Right,32,23,Math,59.6
132,2020/01/04,100.0,Right,32,24,Math,
133,2020/01/05,100.0,Right,32,25,Math,
134,2020/01/06,100.0,Right,32,26,Math,89.9
135,2020/01/07,100.0,Right,32,27,Math,
136,2020/01/08,100.0,Right,32,28,Math,87.2
137,2020/01/09,100.0,Right,32,29,Math,
138,2020/01/10,100.0,Right,32,30,Math,104.5
139,2020/01/11,100.0,Right,32,31,Math,
140,2020/01/12,100.0,Right,32,32,Math,
141,2020/01/13,100.0,Right,32,33,Math,144.4
142,2020/01/14,100.0,Right,32,34,Math,
143,2020/01/15,100.0,Right,32,35,Math,108.1
144,2020/01/16,100.0,Right,32,36,Math,
145,2020/01/17,0.0,Right,32,37,Math,145.4
146,2020/01/18,0.0,Right,32,38,Math,
147,2020/01/19,0.0,Right,32,39,Math,
148,2020/01/20,0.0,Right,32,40,Math,115.8
149,2020/01/21,0.0,Right,32,41,Math,
150,2020/01/22,100.0,Right,32,42,Math,201.1
151,2020/01/23,100.0,Right,32,43,Math,
152,2020/01/24,100.0,Right,32,44,Math,199.8
153,2020/01/25,100.0,Right,32,45,Math,
154,2020/01/26,100.0,Right,32,46,Math,
155,2020/01/27,100.0,Right,32,47,Math,223.6
156,2020/01/28,100.0,Right,32,48,Math,
157,2020/01/29,100.0,Right,32,49,Math,317.2
158,2020/01/30,100.0,Right,32,50,Math,
159,2020/01/31,0.0,Right,32,51,Math,260.6
160,2020/02/01,0.0,Right,32,52,Math,
161,2020/02/02,0.0,Right,32,53,Math,
162,2020/02/03,0.0,Right,32,54,Math,224.9
163,2020/02/04,0.0,Right,32,55,Math,
164,2020/02/05,100.0,Right,32,56,Math,296.6
