,r,K,v,alpha,d_A,beta,SSR
0,0.4720442146773021,98.22257905907536,2.415577567320545,0.49161266566836825,0.5629684465201441,2.4526292269489056e-14,1215.1706856256835
1,0.4645003880998737,96.40333802478362,2.928977053917412,0.6629703748871328,0.02745362373147819,4.055228424671058e-12,2128.6696579375594
2,0.4721019131106106,100.0,2.425886361627502,0.5684945142294031,0.09444835357966737,4.287591586757123e-11,1022.2726180546299
3,0.4570839983349986,95.2797749361524,3.685668248375325,0.5612794420831407,0.10269181426802292,3.683018738379006e-10,825.9472177477852
4,0.4656875795856864,99.42996866711142,2.508053987048803,0.5682624207634747,0.09892791671659211,8.63614613166467e-11,849.0866048687475
5,0.4683429814298771,100.0,2.5585847665560677,0.48811948288214624,0.9728703088555423,7.206731196043124e-13,1192.1895253678704
6,0.4758505858685691,100.0,2.276333127748173,0.6310730691176735,0.055426631238656154,5.573444592508449e-14,772.3637394801947
7,0.4631011665228831,100.0,2.675939694325587,0.5564786797563279,0.09961880186643282,8.705886434892806e-10,2509.5270389703774
8,0.4620525854794178,92.0258595175584,3.776682514416609,0.5973717295099391,0.07686544880127545,9.24732838339718e-24,1303.0136002616714
9,0.4689215560667329,95.96483684797154,2.852907688513959,0.6235768766921909,0.041237072901242414,9.848999235295357e-21,1491.3585530168016
10,0.4761389831540397,100.0,2.258309521662896,0.5785567292871809,0.08549878869502504,4.74478200198974e-10,1265.006646903839
11,0.4624388829277491,100.0,2.732722204586215,0.5696172015250662,0.09317459718037904,1.6029738686750973e-12,775.6069864770502
12,0.4613467843859296,99.694177209216,2.818405287741367,0.517573903049482,0.24770396967683742,5.627798313738794e-17,656.3787918521556
13,0.4692421474579364,95.9920107038811,2.615806843615404,0.5004720992119792,0.3704745591883351,8.273219434736084e-12,1005.132245128233
14,0.4712828504124954,94.37391314900854,2.9159167285323857,0.587310974616498,0.09351838717289748,2.5288296064845336e-10,972.6796091233998
15,0.4728286277839466,99.95872381724942,2.3127634509113038,0.5582559923557937,0.0895711043070574,5.223662276952196e-09,2136.5543992563125
16,0.4666974450691317,92.62681920922488,3.2273135049112,0.5479358031397538,0.17004722008295672,1.2533406976103285e-12,911.0458994458221
17,0.4832690550122809,99.99999999999996,2.092459095930765,0.5409087808589206,0.10716317118107489,3.4596071101045355e-11,1439.4286815168946
18,0.4635744823251297,94.64706433937194,3.682541343567079,0.5043448408001365,0.2662823756411571,5.768292166737038e-17,523.7093680796834
