,r,K,v,d_A,alpha,phi,n,EC50,SSR
0,0.7886251784645991,98.49337405893252,0.8757313799381046,0.1252479656454649,0.6851220285977314,1.2549325469388857,1.100071135132602,4.693839419124746,355.7258128725421
1,0.7668292665203443,99.8820355123767,0.8956070090155754,0.0526676125096845,0.8987094282236333,1.3034403661882263,1.922305872320785,8.704433524870566,248.97917910739332
2,0.6996559823665527,100.0,1.134541510807172,0.0452145208034414,0.9115705500178476,1.2769428353686605,1.1274259746377737,7.901942387697079,313.6922252923249
3,0.7166287197553831,99.63346881680076,1.04925167292539,0.0511296645381881,0.999999999999998,1.5623748920067564,1.0748602782305883,8.177007891610387,386.48759216110443
4,0.7171627477867026,99.99999999999908,1.0222514502411804,0.1318089377487555,0.6623283898556752,0.8906924452177688,0.9798039969007283,5.411706431190125,418.01235818567915
5,0.7061172696532456,100.0,1.04759338791027,0.048828649217795,1.0,1.3996879377481886,0.9924001920213656,9.040916490408401,378.5462089708946
6,0.7013770778723044,100.0,1.0248599995849876,0.0344784001421693,0.9920826238258522,1.3795121982270246,1.5544066810551138,9.103719256436841,288.2124235829156
7,0.6802636968153682,98.76099878973947,1.1477643714503551,0.0710619216304134,0.9999999999999926,1.8238178767791429,1.5623303312948424,8.530774381501569,369.120619910926
8,0.7863317389233548,99.99999999999908,0.8857173972098216,0.1470998962774721,0.6601049124953282,1.0634091972671418,1.1668562912075902,6.074431920620658,300.14790784790944
9,0.7280389919421171,100.0,0.9962978912918145,0.0416283964094493,0.999999999976226,1.1535399461145188,0.7662327616778225,10.219070433142317,433.709343608782
10,0.6616441457610373,96.23475725700328,1.361251554163365,0.0847995351078953,0.6228444065629647,0.3420510984661379,1.5524014719022898,6.542696378142318,521.2529595773126
11,0.7005517591456456,100.0,1.1339951571397615,0.0417131773641726,1.0,1.439265703756034,1.276523546601239,8.479594763562174,238.40138732706737
12,0.704571923774756,100.0,1.066990484108319,0.1361261296778027,0.6638910746740488,0.8783323448798975,1.10433651820962,5.971918293066228,358.574908930999
13,0.7337287142297981,99.99999999999991,0.9922416328024216,0.1298213129058684,0.6324701163851376,0.833958276223894,2.2258524074918737,7.129342785086485,380.4343050527103
14,0.7081368428219211,97.86756722478628,1.1265157896338065,0.0436668664060682,1.0,1.443558941902674,1.1093332354589212,7.9741212180191905,566.1890409728393
15,0.7937637624637907,100.0,0.8554518910259764,0.0535218002156322,0.882757278139107,1.3153628645581408,1.3340916973139976,7.910262853554688,368.49550736880377
16,0.7189472127146808,100.0,1.0439639479123135,0.0406041264859714,0.9999999999999998,1.385438855173729,1.3940767142174184,9.140249610846878,304.5660465741363
17,0.766315047377618,100.0,0.9284774289977882,0.0280122701928724,0.9999999999999598,1.309598983008657,1.9851596292730682,8.906030719283072,396.35454336623604
18,0.6931960378139007,99.0907215780588,1.127256169168889,0.0691276363293135,0.9999999999999856,1.78092493771416,1.21495432292438,7.589518183443597,266.1977324935009
