,r,K,v,d_A,beta,gamma,alpha,SSR
0,0.4720442146773021,98.22257905907536,2.415577567320545,0.12384099077517663,0.12738396562311807,3.999999242831457,0.7409995986443452,196.93180248304535
1,0.4645003880998737,96.40333802478362,2.928977053917412,0.1300727854752159,4.924139613785928e-16,3.9940922171738937,0.6584750647876101,132.377266535561
2,0.4721019131106106,100.0,2.425886361627502,0.13031077063992164,2.913640410864714e-06,3.6954846002120574,0.6559217663483274,85.80813227014727
3,0.4570839983349986,95.2797749361524,3.685668248375325,0.21957093261359492,0.0042343126754974736,1.7956557307760919,0.6232330118292619,90.8682836626458
4,0.4656875795856864,99.42996866711142,2.508053987048803,0.12388735106910907,2.5952808604111303e-06,2.835269791147762,0.6673247156232549,109.51397754993447
5,0.4683429814298771,100.0,2.5585847665560677,0.09197523479010804,0.010793972643957562,3.7571451477387017,0.7243980225286457,166.12151229289685
6,0.4758505858685691,100.0,2.276333127748173,0.0848838597083751,3.9779887249778174e-08,3.3480219416308934,0.7280039067184965,197.02157772983387
7,0.4631011665228831,100.0,2.675939694325587,0.12717796667393774,1.1256814782895e-10,3.928416338991884,0.656133853673693,140.54269875146773
8,0.4620525854794178,92.0258595175584,3.776682514416609,0.14562155975502142,4.965005397815972e-06,1.989468365209604,0.6765435568374258,176.8848703629059
9,0.4689215560667329,95.96483684797154,2.852907688513959,0.06401068105394062,2.515350209844649e-09,2.7792033500293467,0.8250774289431544,98.27920844406908
10,0.4761389831540397,100.0,2.258309521662896,0.08122025772806768,4.008925396286018e-08,2.1306692711445923,0.7796436947682809,133.45020978049646
11,0.4624388829277491,100.0,2.732722204586215,0.10203604045822491,3.632251674669842e-09,3.7639435873951044,0.6878677547978264,150.47388260276816
12,0.4613467843859296,99.694177209216,2.818405287741367,0.13496854483375895,7.0734545904292966e-06,2.4484127035791334,0.6701412957972385,207.3343253674259
13,0.4692421474579364,95.9920107038811,2.615806843615404,0.12645147772010187,1.3004569266943376e-08,2.864427682484394,0.6683106762742068,159.48123670051888
14,0.4712828504124954,94.37391314900854,2.9159167285323857,0.12115208584574994,5.646489487189058e-10,3.9365877388329036,0.6682387203264956,211.41862696452804
15,0.4728286277839466,99.95872381724942,2.3127634509113038,0.6449532465560606,2.340665600682299e-09,0.9310721918105838,0.5766311911373626,111.93763158802706
16,0.4666974450691317,92.62681920922488,3.2273135049112,0.09549220259883341,0.0858662064349889,3.9999999916047324,0.7700625170277484,90.64417150065
17,0.4832690550122809,99.99999999999996,2.092459095930765,0.10393993997014357,1.5355086891395042e-09,2.5072825386920994,0.7202949298829396,236.1196011058245
18,0.4635744823251297,94.64706433937194,3.682541343567079,0.1468103603694439,6.100484485928727e-06,2.473518023216433,0.6695609042031583,124.9302850759934
19,0.4739528448319998,100.0,2.466823409784886,0.12893228626976155,6.852940268368892e-06,2.981150056750231,0.6660010024692408,169.12731653093945
20,0.4697541053064941,98.27768773697564,2.7392548498646665,0.6540651039357335,0.04825843215012377,0.6152498479657033,0.9416123107445115,145.97422805971854
21,0.4561409223263801,97.09116194679444,3.4503634062321327,0.08752394571405278,0.026046715724568514,2.4541774314360567,0.7892724378410902,190.50100527662377
22,0.4768053147307802,98.56843558103172,2.5024373901045065,0.08048346108459566,2.9331885453318925e-11,2.2659943238232603,0.7915419152909573,128.27520735615695
23,0.473098382958961,98.19717713515772,2.772407330845916,0.07911033021238922,3.195245325114577e-08,2.0583929814744213,0.8065255265154376,155.3007006551935
24,0.4625193636940961,99.99999999999744,3.00299822791604,0.08167602293051196,1.0180086241217934e-10,1.7575668754533744,0.8024692551853155,118.9589176303512
25,0.4578454869654081,98.19630160594878,2.799131801648848,0.11052724921634596,1.4671546844932956e-13,2.1553151966257036,0.7421778042192079,70.89050671291766
26,0.4722252112551617,99.61142004506976,2.6996003385990277,0.07997174591212376,0.027733470770263204,1.6578046147778207,0.9072978596380905,94.44414988764203
27,0.4737897740374069,100.0,2.303144138939212,0.15245580397025757,2.3585920310209983e-08,1.7915204385325132,0.676081570977444,156.74216247522
28,0.4789747397714633,100.0,2.2822414641150437,0.6046160477822493,0.02443752961657573,0.5683071920802105,0.8943575761069068,151.42505724151835
29,0.4639374415250288,99.99999999999996,2.887908334943611,0.09403412777924663,0.0037078837067705318,1.6161409736112,0.8163839145377196,215.2091485744825
30,0.4654701027807116,98.08179946267649,2.6485956155651595,0.6997490404738893,0.028550641901557077,0.6337192888074551,0.7893300854389569,141.6936546337061
31,0.4645808693706165,97.734569422554,2.9146581434758727,0.18575439222243237,8.050492183509179e-15,2.743209735328273,0.6256806891388754,137.5606427333689
32,0.4660739101024871,96.48181819287302,2.71840633971038,0.19036521314508068,0.0916061790077277,1.1761945754567917,0.9184908305776843,93.19604476502744
33,0.4759832673796938,100.0,2.5374376267223417,0.1447422586425506,5.287135185945674e-06,2.0425578667512996,0.6796268692855237,107.62506877885973
34,0.4759269648537797,98.4793764745931,2.510255742210668,0.10382929681907563,0.10147783223687258,3.2270939280788262,0.7856682934674406,97.05007581031597
35,0.4787834411830204,98.9629897580012,2.279871738248205,0.08525813831989047,0.008332186868189765,1.1751739438243558,0.9353732050476086,142.23189353013643
36,0.4777135580568609,97.98015848868332,2.32846969345158,0.12721334175560442,4.3554679508535916e-06,2.5689878239179103,0.6664922639259945,122.0914426329237
37,0.468590914204302,95.94273091724313,2.8456371330790566,3.3328252244338725,7.181597970705601e-36,0.5785846356821642,0.6365495021671173,307.47711301140293
38,0.4672928317014875,100.0,2.585563740966233,0.815630891227035,6.696495475349459e-13,0.7956725116974527,0.5800335634897688,171.90162429230145
39,0.4706980019356994,100.0,2.631380175989693,0.18532431836681673,1.8984315031647623e-08,2.525434566366858,0.6231504258002879,144.55203348140316
40,0.4586820137346747,93.2439131071428,3.5734890952089016,0.8709432795268186,2.2768949056588508e-14,0.8296970818070232,0.5747649707672239,92.82533089496185
41,0.4719400352370769,100.0,2.494954180510699,1.3170451316135316,2.976034628322942e-11,0.6134087611103387,0.6450544797935717,251.79305071462602
42,0.4755225899857789,99.99121214746572,2.4377682799960634,0.32511988752597715,0.008329726075323004,1.6404059751337383,0.5829256604176001,130.47267084034385
43,0.4646716863888112,98.20382300551992,2.77295615591481,0.12707558403333064,7.58611316766097e-06,2.3449733378624136,0.6723110087373111,134.73601032403764
44,0.4675616971879019,100.0,2.4195667868627653,0.19588267114836927,0.1143233178919863,1.1672944828018745,0.9999999926171055,82.58851528656078
