,r,K,v,alpha0,alpha1,d_A,beta,SSR
0,0.4720442146773021,98.22257905907536,2.415577567320545,0.7606233634442097,0.9999994104079842,0.10425674507847535,0.019655305975364554,181.94461564005638
1,0.4645003880998737,96.40333802478362,2.928977053917412,0.6834693981582863,0.9947710692838444,0.13266802958519877,1.1291793629436504e-06,121.2526131327678
2,0.4721019131106106,100.0,2.425886361627502,0.6530961178503404,0.6531292155190237,1.755276192770621,2.248216339554007e-15,72.36824760273346
3,0.4570839983349986,95.2797749361524,3.685668248375325,0.7322720610481468,0.6328089661227626,0.6520597769444032,2.3977501951677406e-12,88.06921697981001
4,0.4656875795856864,99.42996866711142,2.508053987048803,0.6589283695416951,0.6589324811158578,1.1099445013891065,1.9164788413845483e-10,103.0318378949961
5,0.4683429814298771,100.0,2.5585847665560677,0.9588770400207144,0.675001342153886,0.21632961904119846,0.01840920140483728,160.10984317847567
6,0.4758505858685691,100.0,2.276333127748173,0.8319607492106751,0.8319465313972011,0.08853478408172719,7.077117661608098e-11,185.1516872352849
7,0.4631011665228831,100.0,2.675939694325587,0.652910827891684,0.6529345558728304,1.681520949334222,1.4239734543724552e-21,136.05814908554373
8,0.4620525854794178,92.0258595175584,3.776682514416609,0.7679616403253833,0.7681844091805896,0.1675178168570162,2.9720154842358405e-10,156.58819575979143
9,0.4689215560667329,95.96483684797154,2.852907688513959,0.579568720137278,0.7939302807234658,1.3371261515666495,1.4962200601163433e-19,93.40027853449674
10,0.4761389831540397,100.0,2.258309521662896,0.5964843997394517,0.9086501459461811,0.3901558131129678,8.034469083836136e-12,127.4176033041903
11,0.4624388829277491,100.0,2.732722204586215,0.8278805751511785,0.8278823810598226,0.09044100660435173,2.564486808356179e-09,142.25899875532002
12,0.4613467843859296,99.694177209216,2.818405287741367,0.6710182545941951,0.9267821151572725,0.1691715279266231,6.120849027677642e-11,192.76743676612398
13,0.4692421474579364,95.9920107038811,2.615806843615404,0.6597998409186554,0.6598059909978552,1.138969223016206,8.797032659454573e-11,150.93658200327116
14,0.4712828504124954,94.37391314900854,2.9159167285323857,0.6530176849196595,0.6529771154642642,1.7244016867027594,5.496905750128036e-33,210.54781967649055
15,0.4728286277839466,99.95872381724942,2.3127634509113038,0.8772035834044979,0.5820820390555286,0.584889900988005,4.903958013337733e-10,137.60939340932234
16,0.4666974450691317,92.62681920922488,3.2273135049112,0.8602793092543339,0.8603548568137502,0.07702110303558782,1.0331598831747073e-11,85.70961029494754
17,0.4832690550122809,99.99999999999996,2.092459095930765,0.7224018556790508,0.6256334038030218,0.973955624818796,1.4619938583170552e-16,223.00058740969712
18,0.4635744823251297,94.64706433937194,3.682541343567079,0.6746248918159676,0.6745853343151604,0.779186892273584,1.3198061420400341e-12,113.04188172258716
19,0.4739528448319998,100.0,2.466823409784886,0.7154167144375836,0.9103815471222267,0.12806237588861524,1.0422092999896736e-07,154.31314000777337
20,0.4697541053064941,98.27768773697564,2.7392548498646665,0.9081192319613788,0.5713502131743708,0.6209685891998699,9.906213791480868e-09,173.65264851020027
21,0.4561409223263801,97.09116194679444,3.4503634062321327,0.9718523904127733,0.5887616953221535,0.365542503623712,1.3200515439816982e-10,179.80584986248414
22,0.4768053147307802,98.56843558103172,2.5024373901045065,0.5923507057123781,0.9345984240823586,0.40362173612626,3.3419368895594895e-11,122.09596359718905
23,0.473098382958961,98.19717713515772,2.772407330845916,0.593345766576665,0.9109337785666501,0.4225950833239811,2.9544395850495565e-09,148.28224320562532
24,0.4625193636940961,99.99999999999744,3.00299822791604,0.6024727159937653,0.8559107119810929,0.41969743138498516,4.399391174261856e-10,115.11991427501125
25,0.4578454869654081,98.19630160594878,2.799131801648848,0.8808497179805211,0.6181954345422878,0.39659199458151406,1.1821640206316244e-10,66.79344414185672
26,0.4722252112551617,99.61142004506976,2.6996003385990277,0.8886663217100348,0.5839285189299278,0.5405786326517866,9.752909929354487e-09,92.62540383080339
27,0.4737897740374069,100.0,2.303144138939212,0.6860831428973647,0.6860875857974367,0.573649621089583,4.3357408701471324e-10,144.2163409223165
28,0.4789747397714633,100.0,2.2822414641150437,0.8573172379341799,0.5861078995192226,0.5432130905042941,2.1721683191612454e-09,213.5761705169046
29,0.4639374415250288,99.99999999999996,2.887908334943611,0.619250654728744,0.8210963815665568,0.4641223769361893,6.956022988056187e-09,208.39216840150326
30,0.4654701027807116,98.08179946267649,2.6485956155651595,0.6054409899634279,0.834365180781554,0.5396247526148181,2.9091317422918447e-10,166.3212771937451
31,0.4645808693706165,97.734569422554,2.9146581434758727,0.9503650955727135,0.6019194315011336,0.345725467150352,2.7600784309082866e-09,127.36433620009619
32,0.4660739101024871,96.48181819287302,2.71840633971038,0.8752028424330062,0.5926397153965602,0.498609854181757,2.5163536539634858e-09,98.30992057667984
33,0.4759832673796938,100.0,2.5374376267223417,0.8270313880646023,0.6282194272807111,0.39432382703877794,0.00012387145059647103,101.67617252155577
34,0.4759269648537797,98.4793764745931,2.510255742210668,0.9999999968251778,0.6382036710727392,0.28845989633641045,0.020665837700167784,93.39150691559367
35,0.4787834411830204,98.9629897580012,2.279871738248205,0.8051282648171367,0.6243247836447756,0.43637187113956716,1.4566930014013312e-10,155.19046688129617
36,0.4777135580568609,97.98015848868332,2.32846969345158,0.6610166714585224,0.6610900848982164,0.9809083990541672,3.9229434957166157e-10,113.02104866593884
37,0.468590914204302,95.94273091724313,2.8456371330790566,0.6449003942962295,0.6448742707987937,2.4070658904347697,6.904202557231619e-38,262.1304235484033
38,0.4672928317014875,100.0,2.585563740966233,0.8242212680904014,0.5861822999464588,0.6131055657051049,8.477468678717946e-09,184.4307874477265
39,0.4706980019356994,100.0,2.631380175989693,0.6585761230281159,0.6586064550427374,1.2906280547599722,1.6218385086453772e-09,129.8783947569168
40,0.4586820137346747,93.2439131071428,3.5734890952089016,0.5819655038161853,0.854119811800997,0.5706153215980093,5.656283107152463e-10,104.43322767583493
41,0.4719400352370769,100.0,2.494954180510699,0.6683627610332694,0.668367876523479,0.847573285307918,2.6499188677655643e-10,202.49038567797257
42,0.4755225899857789,99.99121214746572,2.4377682799960634,0.5796626988180001,0.8966422737631157,0.5251351958171804,6.427021935224096e-10,128.71172762863233
43,0.4646716863888112,98.20382300551992,2.77295615591481,0.6636339333430481,0.6637798388088499,0.8549934497798063,1.0405567185972752e-10,126.52588329165283
44,0.4675616971879019,100.0,2.4195667868627653,0.5750126240103526,0.9383931513213021,0.5421381997457803,1.7218369317549423e-09,85.93954263884154
45,0.465319523577663,97.6069004101156,3.020492120637142,0.6496554811001998,0.6496354809245996,2.667237282279675,1.5889073671534136e-39,332.580701272277
46,0.4667027540327249,92.98709351975842,3.1848776797726344,0.6620951376390342,0.6620707067416167,1.0631518910036657,1.7903583113475812e-12,289.98968841029034
47,0.4752844040648135,99.91878271168018,2.256188974384384,0.870920172623521,0.5977013310815099,0.49597171840842047,1.5966048693247477e-09,225.73726359717125
48,0.4632758778353982,98.44931985507054,3.14436253489337,0.6097880858973034,0.704208945902605,1.6790895658706002,5.4022049424573066e-11,181.5763153494628
49,0.4723702108485617,100.0,2.4525004979295293,0.6601649502546397,0.6601692388808246,1.1590417174688814,5.625149777766988e-10,156.59747991226686
50,0.4735441857381621,100.0,2.345874724018813,0.827048704730258,0.6154130785890676,0.49675773299053844,5.330731959523423e-12,175.95441405966227
