,r,K,v,alpha,d_A,beta,SSR
0,0.4720442146773021,98.22257905907536,2.415577567320545,0.9999999999999707,3.999999999999628,0.11615416004529253,173.8480132307094
1,0.4645003880998737,96.40333802478362,2.928977053917412,0.9999999999999999,3.9999999999999987,0.11885196419607062,275.06183724472146
2,0.4721019131106106,100.0,2.425886361627502,0.9797395096482244,3.999999999998397,0.10305262264713365,130.1844073079163
3,0.4570839983349986,95.2797749361524,3.685668248375325,0.9707881113100216,3.9999999999999996,0.10287528898110271,109.3987866089681
4,0.4656875795856864,99.42996866711142,2.508053987048803,0.954163424018827,3.9999999999999996,0.08324393459499849,86.30520915740348
5,0.4683429814298771,100.0,2.5585847665560677,0.9999999999999999,3.9999999999999996,0.11588926965241066,180.1018870834264
6,0.4758505858685691,100.0,2.276333127748173,0.9968516083145603,3.9999999998569957,0.1104293394465545,100.31194864970499
7,0.4631011665228831,100.0,2.675939694325587,0.9070920225214567,3.9999999999364086,0.05500814758324583,183.5810725563794
8,0.4620525854794178,92.0258595175584,3.776682514416609,0.9962014746620971,3.999999999999569,0.11995904374592897,176.44959577608452
9,0.4689215560667329,95.96483684797154,2.852907688513959,0.9999999999999478,3.9999999999971925,0.12187685017307118,196.46130699428673
10,0.4761389831540397,100.0,2.258309521662896,0.9726952427190433,3.999999999998478,0.09604777833199954,152.34688683579697
11,0.4624388829277491,100.0,2.732722204586215,0.9726523938610933,3.9999999999999996,0.09900113662436674,95.42609564011939
12,0.4613467843859296,99.694177209216,2.818405287741367,0.9999999999999982,3.999999999983785,0.1192236104525781,84.603693670074
13,0.4692421474579364,95.9920107038811,2.615806843615404,0.9999999999914244,3.9999999971992533,0.11814194759101546,138.92084753086942
14,0.4712828504124954,94.37391314900854,2.9159167285323857,0.9825932995909088,3.999999999967357,0.10596868702181533,127.97832234198748
15,0.4728286277839466,99.95872381724942,2.3127634509113038,0.9666623289460986,3.9999999999999996,0.09443888846255215,265.28773980696815
16,0.4666974450691317,92.62681920922488,3.2273135049112,0.9908730312515798,3.9999999999999996,0.11287536691175967,117.88179242381239
17,0.4832690550122809,99.99999999999996,2.092459095930765,0.9999999999999584,1.2269142360212897,0.09885392466026317,148.27053055254297
18,0.4635744823251297,94.64706433937194,3.682541343567079,0.9999999999999999,3.6732518402773424,0.1283316482134392,67.21319918365043
19,0.4739528448319998,100.0,2.466823409784886,0.9978018571936579,3.9999999996735216,0.12015830432248009,200.90422602990537
20,0.4697541053064941,98.27768773697564,2.7392548498646665,0.9999999999999998,2.078304522986106,0.11190182848630886,259.26800214578685
21,0.4561409223263801,97.09116194679444,3.4503634062321327,0.9999999999993436,3.9999999999997744,0.11864670990765655,209.83471777803203
22,0.4768053147307802,98.56843558103172,2.5024373901045065,0.985968964147363,3.9999999999999996,0.10971571880829302,116.33151724854734
23,0.473098382958961,98.19717713515772,2.772407330845916,0.9962607166501901,3.999999999857765,0.11838578552839592,184.70825586249256
24,0.4625193636940961,99.99999999999744,3.00299822791604,0.9999999999999984,3.9999999999996967,0.12085907684571968,152.01577374302028
25,0.4578454869654081,98.19630160594878,2.799131801648848,0.9999999999999999,3.611168892659132,0.11596910685398629,196.23466978373804
26,0.4722252112551617,99.61142004506976,2.6996003385990277,0.9941528449078129,3.9999999999982934,0.11427531916451607,367.05403461099934
27,0.4737897740374069,100.0,2.303144138939212,0.9999999999999999,3.453145056520263,0.1165368477969676,121.31509645856883
28,0.4789747397714633,100.0,2.2822414641150437,0.9999999999999993,3.4644939639925694,0.11857138995677212,64.77736643817649
29,0.4639374415250288,99.99999999999996,2.887908334943611,0.9999999999999999,3.9999999999999996,0.12514067683834273,113.09979048299743
30,0.4654701027807116,98.08179946267649,2.6485956155651595,0.9999999999999999,3.9999999999999996,0.12089524398600912,196.90167734333414
31,0.4645808693706165,97.734569422554,2.9146581434758727,0.992406246342701,3.999999999999998,0.11790112707212691,138.40239622975028
32,0.4660739101024871,96.48181819287302,2.71840633971038,0.9999999999999256,3.9999999989950745,0.115151606029602,168.6494665016099
33,0.4759832673796938,100.0,2.5374376267223417,0.997239667165714,3.9999999999653646,0.11814940931962993,210.79245686244732
34,0.4759269648537797,98.4793764745931,2.510255742210668,0.9999999999999999,1.5990555232977215,0.10933292100364364,46.672692856028206
35,0.4787834411830204,98.9629897580012,2.279871738248205,0.9612036290050091,3.9999999999999996,0.08584767312573814,155.6909860704344
36,0.4777135580568609,97.98015848868332,2.32846969345158,0.999999999999366,2.382872191538746,0.11195893318370914,84.41638989413994
37,0.468590914204302,95.94273091724313,2.8456371330790566,0.9959831360337128,2.627955834135528,0.11537952726658185,106.96997367391667
38,0.4672928317014875,100.0,2.585563740966233,0.9999999999999999,2.7174616339802764,0.11346077638168986,87.36779455625046
39,0.4706980019356994,100.0,2.631380175989693,0.9999999999999999,3.999999999999994,0.12345001786641166,223.13222880458972
40,0.4586820137346747,93.2439131071428,3.5734890952089016,0.9999999999999999,3.9999999999999996,0.1192843835065858,185.18825713440765
41,0.4719400352370769,100.0,2.494954180510699,0.9518326341762112,3.9999999999948455,0.08759805632791415,187.9219811225993
42,0.4755225899857789,99.99121214746572,2.4377682799960634,0.9740442617978623,3.9999999999999063,0.10371025175371403,120.25466047799334
43,0.4646716863888112,98.20382300551992,2.77295615591481,0.9999999999999999,3.9999999999999996,0.12114654307812264,174.06458867397194
44,0.4675616971879019,100.0,2.4195667868627653,0.9903025602388418,3.999999999998335,0.11064746694855311,117.41877147946974
45,0.465319523577663,97.6069004101156,3.020492120637142,0.9999999999999893,3.999999999997664,0.12318912765549277,90.6575292429809
46,0.4667027540327249,92.98709351975842,3.1848776797726344,0.9999999999999999,3.9999999999999996,0.12313679508392378,213.56278242217962
47,0.4752844040648135,99.91878271168018,2.256188974384384,0.9999999999999998,2.3050006157754956,0.11009662343681693,121.80883248770432
48,0.4632758778353982,98.44931985507054,3.14436253489337,0.9591284991880259,3.9999999999999973,0.09276522048575278,150.58262190549945
49,0.4723702108485617,100.0,2.4525004979295293,0.9625035616503752,3.9999999987461368,0.09408402255595157,137.93321760260181
50,0.4735441857381621,100.0,2.345874724018813,0.9996834990530489,3.9999999999999996,0.11872850714453745,205.35992095623268
51,0.4624991716270654,98.47600501402007,2.7342916275193256,0.9999999999999999,3.9999999999999996,0.11760481622437102,196.4543244540001
52,0.4626337981611964,95.68153537352278,3.015427300413064,0.9920378532795633,3.9999999999983444,0.11630580518433191,255.7509678342109
