,r,K,v,d_A,alpha,beta,SSR
0,0.4720442146773021,98.22257905907536,2.415577567320545,0.021267419656899964,0.6405287387934485,1.9357789760829982e-15,1714.5560913759844
1,0.4645003880998737,96.40333802478362,2.928977053917412,0.05643681677664067,0.5933261379145236,1.0111935334924118e-16,1184.7358035796467
2,0.4721019131106106,100.0,2.425886361627502,0.04394355480123922,0.6174835317064042,2.121960047744479e-09,1075.7008622247963
3,0.4570839983349986,95.2797749361524,3.685668248375325,0.024113653457928014,0.6396122201085258,2.36730027453528e-12,1071.6585038975559
4,0.4656875795856864,99.42996866711142,2.508053987048803,0.05910702173653196,0.6332552625412384,0.0006255571683272236,1240.137659397414
5,0.4683429814298771,100.0,2.5585847665560677,0.22438896530163488,0.6487130633654894,0.2752042763784892,941.2709984533036
6,0.4758505858685691,100.0,2.276333127748173,0.15120982344623485,0.5228952619262902,2.469805947016138e-10,1392.1680515635544
7,0.4631011665228831,100.0,2.675939694325587,0.06836041341193834,0.5928420946703301,6.629352137112945e-10,1381.822114705314
8,0.4620525854794178,92.0258595175584,3.776682514416609,0.13399439631808505,0.5441059978163234,2.573532181502412e-11,721.7011704524159
9,0.4689215560667329,95.96483684797154,2.852907688513959,0.4246470377887384,0.492672389510345,9.18759101994765e-15,863.6423049002283
10,0.4761389831540397,100.0,2.258309521662896,0.08196058908394917,0.5930224171844356,2.787364472708189e-10,1635.2045097356531
11,0.4624388829277491,100.0,2.732722204586215,0.2271082278400484,0.5163270102837785,3.475372115182226e-17,1042.7893887845098
12,0.4613467843859296,99.694177209216,2.818405287741367,0.2256403244849673,0.5150932512520419,1.5676194786232747e-12,763.9428132540824
13,0.4692421474579364,95.9920107038811,2.615806843615404,0.015559818511251539,0.6884562925611729,6.901377312645692e-13,1335.0129558529309
14,0.4712828504124954,94.37391314900854,2.9159167285323857,0.2600409065665547,0.5931706992879562,0.1462619247159489,1034.0172869345229
15,0.4728286277839466,99.95872381724942,2.3127634509113038,0.10506749030267,0.5781768466042081,2.3121109586973237e-11,1304.8369304099874
16,0.4666974450691317,92.62681920922488,3.2273135049112,0.08592226562407455,0.5688164760470111,6.118791818139797e-09,2033.8025508319934
17,0.4832690550122809,99.99999999999996,2.092459095930765,0.10433830756302866,0.5666496524946176,2.16646880781131e-09,1351.3527568826805
18,0.4635744823251297,94.64706433937194,3.682541343567079,0.10951050550331913,0.5613874947192211,6.124957244639572e-10,959.3806960931514
19,0.4739528448319998,100.0,2.466823409784886,0.10232354198572363,0.5603045634103414,4.598384610602618e-10,637.3676179295117
20,0.4697541053064941,98.27768773697564,2.7392548498646665,0.264664515368381,0.5030354729607361,2.6947764317043136e-21,1696.8280013543
21,0.4561409223263801,97.09116194679444,3.4503634062321327,0.07714320127638682,0.581565766080496,7.930059987318355e-11,1737.4657203194329
22,0.4768053147307802,98.56843558103172,2.5024373901045065,0.09915151636571663,0.5782814285908805,4.033578212833462e-11,1429.6073211679927
23,0.473098382958961,98.19717713515772,2.772407330845916,0.08804803217183464,0.5995071164670749,0.014603098284971852,1421.4434703551728
24,0.4625193636940961,99.99999999999744,3.00299822791604,0.12147596690651144,0.5493299294979085,7.976820499922816e-09,619.5072732390414
25,0.4578454869654081,98.19630160594878,2.799131801648848,0.10186897836451421,0.5550009791805521,1.9898793669683666e-09,991.9352017054581
26,0.4722252112551617,99.61142004506976,2.6996003385990277,0.015815453203654455,0.6363608338410305,3.9581576820619014e-13,1094.4110058631038
27,0.4737897740374069,100.0,2.303144138939212,0.04272443335210314,0.6078884509838244,7.002200385837032e-14,1737.6846016267386
28,0.4789747397714633,100.0,2.2822414641150437,0.10270737486669787,0.5531682371380444,1.0707454943277873e-09,978.6422040307197
29,0.4639374415250288,99.99999999999996,2.887908334943611,0.3362740050647432,0.5375242351643407,0.0726165597797996,1196.36197281661
30,0.4654701027807116,98.08179946267649,2.6485956155651595,0.02092109473582249,0.6525483839770573,9.576699999334135e-17,1037.3085655349698
31,0.4645808693706165,97.734569422554,2.9146581434758727,0.06201152290122834,0.6136837392066978,1.298056317936688e-14,1527.264928833752
32,0.4660739101024871,96.48181819287302,2.71840633971038,0.08352042422454795,0.5556762677449074,2.604132950248456e-09,2082.520393766803
33,0.4759832673796938,100.0,2.5374376267223417,0.11162039066465146,0.5856282029067021,3.955852881305071e-11,768.379913494045
34,0.4759269648537797,98.4793764745931,2.510255742210668,0.061672426038621345,0.6015436430426317,1.1569263279440948e-10,1870.3090096452775
