,r,K,v,d_A,alpha,phi,SSR
22,0.6587879880292731,98.87661998842292,1.2570364812037678,0.0585789207032344,0.8604509371869099,1.4397139644675851,126.01899820717001
23,0.7091552754200195,100.0,1.0789937003699168,0.05938540528163438,0.9874887623022361,1.6814150468300106,135.09351861373923
24,0.6637995851575941,100.0,1.1977643652979255,0.0455520987371262,0.9999999999999999,1.522229720940826,152.7156897825215
25,0.6575640049961121,100.0,1.28874601588171,0.03141775952302387,0.9999999999999993,1.0460385962261685,193.05382550537396
26,0.7265985868410695,97.3832801165599,1.069226989798771,0.08344091318222098,0.7351610150586221,1.04722261179438,111.57429126764681
27,0.7328452677634901,100.0,0.998264121124414,0.178836944158741,0.6345513465199935,1.1031708144023407,93.81076849400638
28,0.6902061334840182,99.44828716711427,1.1491360858141255,0.04750438179310199,0.9999999999997741,1.6282416324244726,265.53855529587
29,0.7047612819364415,100.0,1.0900326975869437,0.04147225333536899,0.9438505592081796,1.3132676667857492,156.91963456019695
30,0.6671615570362154,99.05924028216614,1.251540878721032,0.044379310017905335,0.9999999999999999,1.4268815813438087,122.59923451907278
31,0.7484526552232343,99.94667396393176,0.9444935956260192,0.11505751529549933,0.7136546716516269,1.2539607523891567,185.067434981067
32,0.6990282995224818,99.20777956330208,1.131275657253366,0.06660874418918883,0.8194460238811591,1.3395588973577122,118.87196391317819
33,0.798716698518331,99.99999999999146,0.8539598093529226,0.1466619143978478,0.6703862592944274,1.335436159787572,394.95934629635303
34,0.6768188893698855,98.6921084866811,1.172844339790656,0.09384684151810428,0.8946114121125309,1.7983426398069065,268.0071599556193
35,0.7229919173784246,99.94854940543202,1.0143212172893266,0.09047968166825188,0.6679057375201836,0.7766961541192586,475.27200077269435
36,0.7106656997603571,99.31244297551392,1.0544464078410625,0.05029961851861312,0.8823005111361599,1.0301332694640877,202.64697886827653
37,0.7038429957176794,97.68797763047898,1.1323454013087786,0.1501994847771099,0.6914147266075127,1.4726838715413104,79.8530168042868
38,0.6822203043621251,99.19641518755807,1.17024371207823,0.026132101141829917,0.9999999999999182,1.1765303896179733,266.3081367003413
39,0.7065131066430729,97.52560523690774,1.1583080357120512,0.05707713242507916,0.8674109117742728,1.3677069882048312,99.88467775350446
40,0.6801441808495197,96.27375475386756,1.265187469549227,0.08211928121425989,0.6732106440922649,0.6152244563756638,51.51553842675849
41,0.710652867532654,100.0,1.0717038754203598,0.030599559378734743,0.947165133311639,1.1428755323024187,324.04249339812196
42,0.749440817877252,98.43192655880893,0.9640689567490076,0.05054212083784568,0.9999999999999999,1.425283767065624,209.9007713266272
43,0.7835633866087316,100.0,0.8803017683997263,0.07427875209015465,0.8555948348178228,1.5062887377780434,198.94720527590303
44,0.6626717199321923,100.0,1.2388124288230569,0.046692796456698306,0.9819826814279252,1.283735050398977,101.39592065421894
45,0.687690202133144,99.99999999999952,1.1238035995008129,0.0420372472955826,0.9332854863389497,1.1663057876531011,151.49700625681186
46,0.7342587062814576,98.70494769154271,1.0278558156206448,0.12994859169291115,0.6632623676681537,1.0732814765202912,69.3894051858014
47,0.6871994053962623,100.0,1.0978821449996816,0.061487472785252656,0.9172883300252631,1.3397999664091036,192.31896876278807
48,0.7482118644767888,100.0,0.9714193590469564,0.05138594860696378,0.9999999999999867,1.5695658343270675,315.6666034679528
49,0.6716581529820541,99.99999999999991,1.1992272390439311,0.071621610849111,0.9330825394852359,1.8276003566150851,254.9462740035213
50,0.7324104416258727,99.974795166151,0.9870882240965582,0.04121351599611059,0.9999999999999999,1.3596950342778427,381.51042748658284
51,0.7330455243533469,100.0,1.0032087800886218,0.04816697236008479,0.9999999999999999,1.4316653668982668,266.63031879267777
52,0.7244973204896074,98.2915037277176,1.0676489490602474,0.03307618624951599,0.9999999999999954,1.414386102157619,305.76920331053265
53,0.7028408928714072,100.0,1.1120307426625835,0.04517528613137535,0.8117594106931456,0.9234129103797436,194.29793349984698
54,0.7242223591872394,99.13599110013016,1.0376347623659947,0.06845553799654526,0.7772685885610131,1.031764411338748,236.2411812669616
55,0.7197206466560242,100.0,1.0344218720984069,0.04432778494451657,0.9999999999999999,1.4362216287142362,125.64877166121015
56,0.7614215755635287,100.0,0.91800061027206,0.06430846387334727,0.8678460062657425,1.3729077945758719,298.35250695683266
57,0.695611280206158,99.6681967732411,1.131089148477241,0.17976819439470268,0.5955965466682751,0.894235465697459,209.18138063958216
58,0.7036890862118516,99.99999999999692,1.0559484434673752,0.11736693593834356,0.6711393764666059,0.8975352190594993,276.40431334787854
59,0.7405119613888581,100.0,0.9871690022540768,0.05863138078210854,0.9999999999999999,1.6397522716349686,325.7465662013899
60,0.7403953361838438,100.0,0.9722319377062272,0.10648970913593733,0.7008179484890643,1.1344105994745466,444.5229355242506
61,0.6876567307158815,100.0,1.143971372971032,0.04643140280080213,0.9999999999999999,1.4429003667650993,100.74699074016628
62,0.7282475033078248,99.67901433110612,1.0384937025673928,0.05540435064460921,0.8303027355504871,0.9832448683977735,172.28129410999952
63,0.7310588412035892,100.0,0.9952635513316804,0.04603326551896148,0.999999999999194,1.538402479370078,248.49131114648046
64,0.7208239413276288,99.99999999999964,1.0190719063134357,0.05679736661091,0.9999999999999994,1.669716153588314,113.92488420096107
65,0.7775827063358086,100.0,0.8788798502873352,0.03394070832864437,0.9999999999999993,1.2708511739660835,258.395404046472
66,0.74600801174556,100.0,0.9445797630736532,0.05443555106250108,0.9999999999999737,1.6808134086573723,179.95929371469606
67,0.6668788905363421,98.01530706905352,1.3059435415024858,0.04802450287881299,0.9999999999999999,1.5390178654948683,145.50171867770487
68,0.7210760260295654,99.1910828228807,1.0489942872424824,0.04477432774500077,0.9999999999999999,1.4496656661798983,113.71440649485555
69,0.7533089813249373,100.0,0.9431932470133636,0.07405579891294557,0.7594989631940273,1.0051905314322112,289.76255455784644
70,0.731970778742425,98.01623858555728,1.0287285783046267,0.04256036866202319,0.9999999999999999,1.4203580724678893,206.2455876103505
71,0.700334026714078,99.50023629814012,1.1362047502694474,0.061590851096914846,0.9159113144974287,1.5645099403353464,381.36520325014266
72,0.7265574282643956,100.0,1.0130348724856733,0.06794793247370332,0.980433108129102,1.7702025186263868,174.37538051093523
73,0.7536834093887717,99.31471692083583,0.9776208697506068,0.04042130396750401,0.9999999999999999,1.4781334477172676,170.7481919855044
