,r,K,v,r1,d_A,beta,alpha,SSR
0,0.4720442146773021,98.22257905907536,2.415577567320545,0.2070764424816213,0.13283094057119463,1.575576794735756e-11,0.8502008128269065,173.3659821577349
1,0.4645003880998737,96.40333802478362,2.928977053917412,0.8052550426507908,0.0678816718663863,2.0014034337039814e-21,0.8568460385877428,98.57912336725364
2,0.4721019131106106,100.0,2.425886361627502,1.3453218307753618,0.0808681549393915,5.856544488399969e-16,0.8202832484360912,93.0386156926656
3,0.4570839983349986,95.2797749361524,3.685668248375325,0.84993045314947,0.14858589578145065,0.04576833234998653,0.8034811420042295,59.549394872853206
4,0.4656875795856864,99.42996866711142,2.508053987048803,1.9999999999999998,0.2577349341826609,0.10280043294627694,0.765686590384047,59.47905403240678
5,0.4683429814298771,100.0,2.5585847665560677,0.6246757137036102,0.5962585116309158,0.006082391626147392,0.6724246414163088,93.35390004629147
6,0.4758505858685691,100.0,2.276333127748173,1.0969963928433188,0.0800474888197548,1.7765968974608687e-19,0.8242147071293868,128.39442864164798
7,0.4631011665228831,100.0,2.675939694325587,0.285546660933684,0.17688998337400635,1.692379689009026e-10,0.7911438223147038,109.3934476748416
8,0.4620525854794178,92.0258595175584,3.776682514416609,0.7852132818874832,0.07692137266682612,2.6474161696096557e-17,0.8402108722775831,143.64165603270695
9,0.4689215560667329,95.96483684797154,2.852907688513959,1.9999999999999998,0.0731434442844584,1.0777637821862449e-16,0.8111020647807331,190.40616547939476
10,0.4761389831540397,100.0,2.258309521662896,0.44798679121381413,0.10841262844624808,7.286887450226873e-14,0.8286852721380598,116.69399786684588
11,0.4624388829277491,100.0,2.732722204586215,0.6379585199691072,0.09141518340958749,4.314404009273065e-16,0.8178643993681496,102.04321223375078
12,0.4613467843859296,99.694177209216,2.818405287741367,0.3183824054618117,0.17412537570170672,9.388893393777578e-08,0.7830184789896232,90.00898749137829
13,0.4692421474579364,95.9920107038811,2.615806843615404,0.3806632355603959,0.19291853091636157,3.657081255967558e-09,0.7624733978965634,138.82388890518249
14,0.4712828504124954,94.37391314900854,2.9159167285323857,0.4958351674990036,0.14020187518731173,0.007109217862941311,0.7948802672088738,189.22967720206816
15,0.4728286277839466,99.95872381724942,2.3127634509113038,0.5095579958709863,0.1122681974289323,1.1621137565928112e-11,0.8047298356252446,144.64680449466476
16,0.4666974450691317,92.62681920922488,3.2273135049112,0.26236827936007234,0.16430151435914228,1.0663558785520263e-11,0.804055527984208,205.22049490980436
17,0.4832690550122809,99.99999999999996,2.092459095930765,1.2990446731188157,0.10036524480526833,9.49953874738436e-19,0.7888895439264489,178.56511426949237
18,0.4635744823251297,94.64706433937194,3.682541343567079,1.7083341154141138,0.09572556775436858,1.6148419165883817e-14,0.8001679298034613,90.93448527132682
19,0.4739528448319998,100.0,2.466823409784886,0.270822341057474,0.16414113120512658,1.4430091595998317e-10,0.7950790411807078,128.34122411176872
20,0.4697541053064941,98.27768773697564,2.7392548498646665,1.8078037049794118,0.07411651949200566,2.838857235354355e-17,0.8254929892080496,153.2895915943047
21,0.4561409223263801,97.09116194679444,3.4503634062321327,0.36255131249199996,0.20533099467778002,4.078776511385299e-14,0.7691893680228543,89.66801898699948
22,0.4768053147307802,98.56843558103172,2.5024373901045065,1.260616110573249,0.1543074685834424,0.07023038221650386,0.813135053483785,187.1049031612309
