,r,K,v,d_A,alpha,beta,SSR
0,0.6798787144326834,97.84292022033824,1.2138917496888044,0.0691890183332458,0.5860505814474203,2.3920258476194172e-11,852.2978991617539
1,0.7311733232574918,98.91866273258104,1.0249356831309775,0.12695134006432493,0.5499082618938467,3.4876425156050924e-09,380.032473469195
2,0.7255248586809074,99.99999999999768,1.0513190231444756,0.12678433112766227,0.5520235190605672,1.5321209136296714e-09,595.4485078969352
3,0.7166064786805115,98.65622975408508,1.0778005189744149,0.14270129659920758,0.5651601312686229,2.691154052181816e-09,539.0743153109381
4,0.7260920949156479,100.0,1.0325245237682965,0.14871437665941192,0.518057126389751,3.0174577255247046e-12,776.2434990645548
5,0.6887864376995403,97.2279716756819,1.1908087020383094,0.10771245241286119,0.5691421629277991,1.7152150126969381e-09,425.73530235735967
6,0.7668624037618714,100.0,0.9267660278159472,0.19344314469683657,0.5340513544087225,2.987044720434814e-11,764.9457191335066
7,0.7506828824259459,100.0,0.9621797063699656,0.02281374691927876,0.6175465603945621,3.3449929253200324e-16,523.4589018508826
8,0.6741719747674462,97.376537245698,1.2285000725585788,0.09518219045384528,0.56172182196782,2.495495452948272e-10,391.9310886009049
9,0.7486624877765439,100.0,0.9799110476522608,0.001758145615180752,0.7065322806204611,1.4791282726884044e-18,138.5987353941506
10,0.7251637496110663,99.90285262744746,1.0194023122597702,0.042420803968665745,0.6481469093009936,7.672680903578375e-16,953.1019921051634
11,0.6793462318876007,99.99999999980083,1.1891013128404953,1.3700151024810252,0.47207737802658445,7.283338247038473e-11,384.0883647396123
12,0.7293783305734758,100.0,1.0236907225009175,0.08559716583426719,0.5869028518695909,2.675478000929661e-11,391.27130662212755
13,0.8198388396537745,99.28990705236528,0.8208796068091484,0.0927173750648319,0.5855130471242342,1.7920855908272383e-09,645.5558655995503
14,0.782199095075735,100.0,0.8566425841338478,0.10791287994777392,0.5629947728542255,1.2742206035618783e-10,846.1666713650933
15,0.77268822182144,100.0,0.8975749485877241,0.18075721975425865,0.5432565621252575,2.365929456131315e-10,867.231126280544
16,0.7381721920066873,99.12531541277968,0.996268720848937,0.15814268052739872,0.5639700390975115,3.8649818147299176e-10,452.0544882172241
17,0.6894297687986944,98.56634343832734,1.150161729523297,0.12567566643471395,0.5390264537799929,3.472728498013975e-10,435.1655083101562
